genres,app_name,date,price,item_id
"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - Mini-Dungeon #004: Summoner's Remorse (5E),2016,2.99,547100
"['Action', 'Indie']",Press X to Not Die - Soundtrack,2016,0.99,491410
"['Action', 'Adventure', 'Indie', 'RPG']",Light Apprentice - The Comic Book RPG,2017,9.99,569570
['Casual'],Trainz Trouble,2014,4.99,319300
['Strategy'],Prison Tycoon 3™: Lockdown,2007,9.99,12510
"['Casual', 'Free to Play', 'Strategy']",Knightfall: Rivals,2017,Free to Play,587460
['Sports'],Jerry Rice & Nitus' Dog Football,2011,10.99,438660
"['Action', 'Adventure', 'Indie', 'Early Access']",Edge of Hearts,2017,1.99,635000
"['Adventure', 'Indie']",Shadowgate - Special Edition DLC,2014,9.99,318591
"['Action', 'Casual', 'Indie']",Beat Hazard Ultra,2011,4.99,49604
['Adventure'],Princess Evangile All Ages Version,2015,34.99,344630
"['Action', 'Indie']",They Bleed Pixels,2012,9.99,211260
"['Free to Play', 'Massively Multiplayer', 'Simulation', 'Sports']",Winning Putt: Golf Online,2016,Free to Play,458960
"['Racing', 'Simulation', 'Sports']",FURIDASHI - PREMIUM CAR: 1995 MRKII,2017,2.99,756721
"['Adventure', 'Casual', 'Indie', 'Strategy']",Flight to Eternity,2017,0.99,638680
"['Adventure', 'Indie']",Embers of Mirrim,2017,19.99,596080
"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",Disgraced Renegade Pack DLC,2017,0.99,742060
"['Casual', 'Simulation']",Rocksmith® 2014 – Dethklok - “Thunderhorse”,2015,2.99,342822
"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - Darkwoulfe's Volume 24 - Beast of the Bogs (Token Pack),2017,4.99,587640
"['Casual', 'Simulation']",Rocksmith® 2014 Edition – Remastered – Queen - “I Want It All”,2017,2.99,590224
"['Adventure', 'Casual', 'Indie']",Snow White Solitaire. Charmed Kingdom,2017,9.99,768290
"['Action', 'Indie']",WarFire,2016,15.99,470890
"['Racing', 'Simulation', 'Sports']",MX vs. ATV Supercross Encore - 2015 Yamaha YZ125 MX,2016,2.99,430319
"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - Mythic Monsters #5: Mythos (PFRPG),2017,7.99,698090
"['Action', 'Strategy']",Arena Wars 2,2012,3.99,207730
"['Adventure', 'Indie', 'Simulation', 'Early Access']",Pandora`s room,2016,8.99,440720
"['Action', 'Indie']",Apez,2017,9.99,683210
"['Action', 'Adventure']",Prince of Persia®,2008,9.99,19980
"['Casual', 'Indie', 'Strategy']",DiamondFalls,2017,4.99,718840
"['Casual', 'Strategy']",Crazy Machines 2 - Jewel Digger DLC,2014,2.99,312090
"['Casual', 'Simulation']",Rocksmith® 2014 Edition – Remastered – Thrice Song Pack,2017,7.99,637739
"['Action', 'Casual', 'Indie']",Asteroids Millennium,2017,7.99,669830
"['Action', 'Indie', 'RPG']",Forge - PvP Pro Pack,2013,9.99,249913
"['Racing', 'Simulation', 'Sports']",MX vs. ATV Supercross Encore - 2015 KTM 350 SX-F MX,2016,2.99,429900
"['Action', 'Adventure', 'Indie']",Virus Z,2017,2.99,666290
['Strategy'],COH 2 - German Skin: (H) Three Color Disruptive Pattern,2013,1.99,231476
"['Simulation', 'Strategy']",Crusader Kings II: Hymns of Revelation,2017,1.99,601270
"['Adventure', 'Indie']",Void And Meddler,2015,3.99,377970
"['Indie', 'Strategy']",Refract,2017,0.99,666010
"['Action', 'Casual', 'Indie']",Raining Coins,2015,3.99,755240
"['Casual', 'Simulation']",Rocksmith® 2014 – Shamrock Song Pack,2015,11.99,342795
['Casual'],SOLITAIRE ULTRA,2017,5.99,656340
"['Indie', 'Simulation']",Hardcore Package Part 1 / for Hacker Evolution,2013,1.99,259230
['Utilities'],Xcinerator,2016,1.99,464120
"['Casual', 'Indie']",Square n Fair,2017,2.99,575680
"['Action', 'Adventure']",Assassin's Creed® Syndicate - The Dreadful Crimes,2016,4.99,452960
"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - The Sixth Gun: The Winding Way (Savage Worlds),2017,19.99,713630
"['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Strategy', 'Early Access']",Custom Town,2016,0.99,517700
"['Casual', 'Indie', 'Simulation', 'Strategy']",Restaurant Empire II,2009,19.99,32900
['Strategy'],"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011,0.99,56432
"['Casual', 'Indie']",Zup! 4,2017,0.99,591420
"['Casual', 'Indie', 'Simulation', 'Early Access']",Carried Away,2017,8.99,638000
"['Action', 'Indie']",Primal Carnage - Agent Trapper DLC,2013,0.99,223262
"['Adventure', 'Indie']",Dead Synchronicity: Tomorrow Comes Today,2015,19.99,339190
"['Indie', 'Strategy']",War for the Overworld - Crucible Expansion,2016,Free,492690
['Racing'],NASCAR Heat 2 - September Jumbo Expansion,2017,9.99,703440
['Simulation'],FSX Steam Edition: Farm Strips Vol 2: Central and Southern England Add-On,2017,9.99,556217
"['Action', 'Casual', 'Indie', 'Racing', 'Simulation']",OCEAN CITY RACING: Redux,2016,2.99,311400
"['Indie', 'RPG', 'Strategy']",Blackguards Deluxe Edition,2013,24.99,261340
"['Indie', 'Simulation', 'Strategy']",Command Ops 2: Bastogne Vol. 4,2015,29.99,524174
['Simulation'],Train Simulator: South London Network Route Add-On,2014,39.99,222638
"['Adventure', 'Casual', 'Indie', 'Strategy']",Vex - World 4 Unlock,2017,0.99,574972
"['Action', 'Casual']",Rage Against The Zombies,2017,4.99,556990
"['Action', 'Adventure', 'Indie']",Systematic Immunity OST,2016,0.99,477830
"['Casual', 'Indie', 'Simulation']",Humanity Must Perish,2017,Free,657050
"['Action', 'Racing']",Chromadrome 2,2007,2.99,378350
"['Indie', 'Simulation', 'Early Access']",Sailaway - The Sailing Simulator,2017,39.99,552920
"['Casual', 'Indie']",BitRay,2016,0.99,462030
['Indie'],Cursed Sight Demo,2015,,360560
"['Action', 'Adventure', 'Indie']",White Day - Beachwear Costume - Hee-Min Lee,2017,1.99,687000
"['Indie', 'Simulation', 'Early Access']",Saurian,2017,19.99,587450
"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",RADical ROACH Remastered,2014,6.99,301750
"['Indie', 'Strategy']",Lords of the Black Sun,2014,29.99,246940
"['Simulation', 'Strategy']",Industry Giant 2,2015,9.99,271360
"['Indie', 'Simulation']",Euro Truck Simulator 2 - Norwegian Paint Jobs Pack,2015,0.99,347190
"['Action', 'Indie']",Void Invaders - Soundtrack,2015,Free,416900
"['Action', 'Adventure']",Mafia III - Family Kick Back Pack,2016,4.99,511892
"['Action', 'Indie']",Labyrinth Escape,2017,0.99,654950
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Immortal Empire - Master Pack,2016,79.99,465834
"['Design &amp; Illustration', 'Web Publishing']",RPG Maker MV - Karugamo Contemporary BGM Pack 01,2016,9.99,542640
